DnsLookupTime;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional
4.283;1529078185;www.google.com;;216.58.213.228;443;81.066;200;TCP/TLS1.2;
4.225;1529078186;www.youtube.com;;172.217.18.174;443;52.468;200;TCP/TLS1.2;
28.568;1529078187;www.litespeedtech.com;;52.55.120.73;443;344.951;200;TCP/TLS1.2;
1.326;1529078187;www.google.com;/;216.58.213.228;443;50.751;200;Q043;
2.414;1529078187;www.youtube.com;/;172.217.18.14;443;35.053;200;Q043;
1.140;1529078188;www.litespeedtech.com;/;52.55.120.73;443;208.338;200;Q043;
4.284;1529078237;www.google.com;;216.58.213.228;443;81.660;200;TCP/TLS1.2;
4.262;1529078238;www.youtube.com;;172.217.22.46;443;52.449;200;TCP/TLS1.2;
4.266;1529078238;www.litespeedtech.com;;52.55.120.73;443;309.027;200;TCP/TLS1.2;
1.328;1529078238;www.google.com;/;216.58.213.228;443;51.132;200;Q043;
2.640;1529078238;www.youtube.com;/;172.217.23.142;443;35.108;200;Q043;
8.381;1529078239;www.litespeedtech.com;/;52.55.120.73;443;207.561;200;Q043;
4.279;1529078840;www.google.com;;172.217.16.68;443;82.606;200;TCP/TLS1.2;
4.264;1529078841;www.youtube.com;;216.58.210.14;443;52.918;200;TCP/TLS1.2;
12.415;1529078841;www.litespeedtech.com;;52.55.120.73;443;317.976;200;TCP/TLS1.2;
1.176;1529078841;www.google.com;/;172.217.16.68;443;51.380;200;Q043;
1.236;1529078842;www.youtube.com;/;172.217.16.206;443;35.112;200;Q043;
0.966;1529078843;www.litespeedtech.com;/;52.55.120.73;443;209.313;200;Q043;
4.337;1529079443;www.google.com;;172.217.16.68;443;80.539;200;TCP/TLS1.2;
4.270;1529079444;www.youtube.com;;216.58.210.14;443;52.958;200;TCP/TLS1.2;
28.561;1529079444;www.litespeedtech.com;;52.55.120.73;443;327.895;200;TCP/TLS1.2;
1.115;1529079445;www.google.com;/;172.217.16.68;443;51.826;200;Q043;
1.225;1529079445;www.youtube.com;/;172.217.22.14;443;34.611;200;Q043;
1.016;1529079446;www.litespeedtech.com;/;52.55.120.73;443;195.047;200;Q043;
4.282;1529080046;www.google.com;;172.217.16.68;443;92.109;200;TCP/TLS1.2;
4.274;1529080047;www.youtube.com;;172.217.18.14;443;53.515;200;TCP/TLS1.2;
28.608;1529080048;www.litespeedtech.com;;52.55.120.73;443;307.089;200;TCP/TLS1.2;
1.341;1529080048;www.google.com;/;172.217.16.68;443;51.598;200;Q043;
2.787;1529080048;www.youtube.com;/;216.58.210.14;443;34.449;200;Q043;
1.056;1529080049;www.litespeedtech.com;/;52.55.120.73;443;220.124;200;Q043;
4.284;1529080649;www.google.com;;172.217.16.68;443;81.545;200;TCP/TLS1.2;
4.235;1529080650;www.youtube.com;;216.58.207.78;443;51.140;200;TCP/TLS1.2;
12.427;1529080651;www.litespeedtech.com;;52.55.120.73;443;326.148;200;TCP/TLS1.2;
1.181;1529080651;www.google.com;/;172.217.16.68;443;51.071;200;Q043;
1.280;1529080651;www.youtube.com;/;172.217.22.110;443;36.150;200;Q043;
0.950;1529080652;www.litespeedtech.com;/;52.55.120.73;443;195.702;200;Q043;
4.296;1529081252;www.google.com;;172.217.16.68;443;81.806;200;TCP/TLS1.2;
4.237;1529081253;www.youtube.com;;172.217.18.174;443;52.713;200;TCP/TLS1.2;
12.357;1529081253;www.litespeedtech.com;;52.55.120.73;443;326.177;200;TCP/TLS1.2;
1.236;1529081253;www.google.com;/;172.217.16.68;443;50.979;200;Q043;
1.262;1529081254;www.youtube.com;/;172.217.21.206;443;35.058;200;Q043;
0.987;1529081254;www.litespeedtech.com;/;52.55.120.73;443;207.401;200;Q043;
4.271;1529081855;www.google.com;;172.217.16.68;443;80.877;200;TCP/TLS1.2;
4.268;1529081856;www.youtube.com;;172.217.21.14;443;78.337;200;TCP/TLS1.2;
28.586;1529081857;www.litespeedtech.com;;52.55.120.73;443;327.675;200;TCP/TLS1.2;
1.199;1529081857;www.google.com;/;172.217.16.68;443;51.382;200;Q043;
1.181;1529081857;www.youtube.com;/;172.217.20.142;443;60.215;200;Q043;
1.021;1529081858;www.litespeedtech.com;/;52.55.120.73;443;195.607;200;Q043;
4.279;1529082458;www.google.com;;172.217.16.68;443;81.974;200;TCP/TLS1.2;
4.219;1529082459;www.youtube.com;;172.217.22.46;443;52.981;200;TCP/TLS1.2;
12.408;1529082460;www.litespeedtech.com;;52.55.120.73;443;361.820;200;TCP/TLS1.2;
1.199;1529082460;www.google.com;/;172.217.16.68;443;50.450;200;Q043;
2.646;1529082460;www.youtube.com;/;172.217.23.174;443;35.560;200;Q043;
1.270;1529082461;www.litespeedtech.com;/;52.55.120.73;443;236.805;200;Q043;
