DnsLookupTime;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional
19.643;1530444196;www.google.com.tr;;172.217.22.35;443;55.206;200;TCP/TLS1.2;9.603
19.245;1530444196;www.google.com.tr;/;172.217.22.35;443;35.107;200;Q043;
22.301;1530444196;www.google.co.in;;216.58.208.35;443;53.021;200;TCP/TLS1.2;9.571
19.166;1530444196;www.google.co.in;/;216.58.208.35;443;35.471;200;Q043;
35.637;1530444207;www.google.nl;;172.217.22.35;443;53.128;200;TCP/TLS1.2;9.517
19.403;1530444207;www.google.nl;/;172.217.22.35;443;35.137;200;Q043;
20.022;1530444208;www.google.com.vn;;172.217.22.35;443;52.991;200;TCP/TLS1.2;9.503
19.154;1530444208;www.google.com.vn;/;172.217.22.35;443;35.166;200;Q043;
26.093;1530444208;www.google.co.za;;172.217.22.35;443;54.217;200;TCP/TLS1.2;9.397
26.911;1530444208;www.google.co.za;/;172.217.22.35;443;37.328;200;Q043;
19.489;1530444208;www.google.be;;172.217.22.35;443;52.343;200;TCP/TLS1.2;9.454
321.150;1530444209;www.google.be;/;172.217.22.35;443;37.739;200;Q043;
18.894;1530444209;www.google.com.pk;;172.217.22.35;443;53.497;200;TCP/TLS1.2;9.457
19.067;1530444209;www.google.com.pk;/;172.217.22.35;443;36.762;200;Q043;
19.510;1530444209;www.googleusercontent.com;;216.58.208.33;443;53.328;404;TCP/TLS1.2;9.586
19.406;1530444209;www.googleusercontent.com;/;216.58.208.33;443;36.003;404;Q043;
19.546;1530444210;www.google.com.sa;;172.217.22.35;443;55.266;200;TCP/TLS1.2;9.552
27.409;1530444210;www.google.com.sa;/;172.217.22.35;443;37.654;200;Q043;
38.438;1530444210;www.huffingtonpost.com;;152.195.52.104;443;47.459;200;TCP/TLS1.2;9.386
26.289;1530444210;www.huffingtonpost.com;/;152.195.52.104;443;35.228;302;Q039;
19.310;1530444211;www.youtube.com;;172.217.23.174;443;54.327;200;TCP/TLS1.2;9.563
21.311;1530444211;www.youtube.com;/;216.58.208.46;443;35.038;200;Q043;
22.976;1530444213;www.google.com.hk;;172.217.22.35;443;53.703;200;TCP/TLS1.2;9.549
20.084;1530444213;www.google.com.hk;/;172.217.22.35;443;36.814;200;Q043;
35.507;1530444213;www.google.cz;;172.217.22.35;443;55.076;200;TCP/TLS1.2;9.534
19.214;1530444213;www.google.cz;/;172.217.22.35;443;37.080;200;Q043;
19.567;1530444213;www.googlevideo.com;;216.58.208.36;443;51.795;404;TCP/TLS1.2;9.567
19.290;1530444214;www.googlevideo.com;;216.58.208.36;443;44.034;404;TCP/TLS1.3;9.536
19.651;1530444214;www.googlevideo.com;/;216.58.208.36;443;35.085;404;Q043;
20.582;1530444224;www.blogger.com;;172.217.22.41;443;53.469;302;TCP/TLS1.2;9.583
20.903;1530444224;www.blogger.com;/;172.217.22.41;443;37.284;302;Q043;
19.705;1530444224;www.google.dk;;172.217.22.35;443;53.481;200;TCP/TLS1.2;9.556
19.824;1530444225;www.google.dk;/;172.217.22.35;443;37.215;200;Q043;
36.412;1530444225;www.google.com.pe;;172.217.22.35;443;53.899;200;TCP/TLS1.2;9.571
18.944;1530444225;www.google.com.pe;/;172.217.22.35;443;37.176;200;Q043;
19.533;1530444225;www.google.dz;;172.217.22.35;443;53.545;200;TCP/TLS1.2;9.603
19.279;1530444225;www.google.dz;/;172.217.22.35;443;37.001;200;Q043;
19.477;1530444226;www.google.sk;;172.217.22.35;443;53.834;200;TCP/TLS1.2;9.570
36.392;1530444226;www.google.sk;/;172.217.22.35;443;37.546;200;Q043;
24.968;1530444226;www.google.de;;172.217.22.35;443;54.196;200;TCP/TLS1.2;9.568
27.164;1530444226;www.google.de;/;172.217.22.35;443;35.168;200;Q043;
27.163;1530444226;www.google.ru;;172.217.22.35;443;54.225;200;TCP/TLS1.2;9.555
19.545;1530444226;www.google.ru;/;172.217.22.35;443;37.898;200;Q043;
19.647;1530444227;www.google.hu;;172.217.22.35;443;53.078;200;TCP/TLS1.2;9.558
20.169;1530444227;www.google.hu;/;172.217.22.35;443;34.958;200;Q043;
20.120;1530444227;www.google.ie;;172.217.22.35;443;53.896;200;TCP/TLS1.2;9.490
19.479;1530444227;www.google.ie;/;172.217.22.35;443;36.987;200;Q043;
20.349;1530444227;www.google.com.ph;;172.217.22.35;443;53.962;200;TCP/TLS1.2;9.580
35.821;1530444227;www.google.com.ph;/;172.217.22.35;443;37.220;200;Q043;
19.228;1530444228;www.google.com.eg;;172.217.22.35;443;54.421;200;TCP/TLS1.2;9.520
18.927;1530444228;www.google.com.eg;/;172.217.22.35;443;37.626;200;Q043;
19.512;1530444228;www.google.com.sg;;172.217.22.35;443;53.783;200;TCP/TLS1.2;9.539
20.153;1530444228;www.google.com.sg;/;172.217.22.35;443;38.085;200;Q043;
19.618;1530444239;www.google.se;;172.217.22.35;443;55.031;200;TCP/TLS1.2;9.679
18.831;1530444239;www.google.se;/;172.217.22.35;443;37.864;200;Q043;
19.553;1530444240;www.google.co.id;;216.58.208.35;443;54.559;200;TCP/TLS1.2;9.543
19.040;1530444240;www.google.co.id;/;216.58.208.35;443;37.766;200;Q043;
19.188;1530444240;www.google.co.uk;;172.217.22.35;443;54.080;200;TCP/TLS1.2;9.535
19.049;1530444240;www.google.co.uk;/;172.217.22.35;443;35.033;200;Q043;
20.114;1530444261;www.google.si;;172.217.22.35;443;54.297;200;TCP/TLS1.2;9.521
19.809;1530444261;www.google.si;/;172.217.22.35;443;36.822;200;Q043;
26.593;1530444264;www.zougla.gr;;2.16.181.234;443;44.608;200;TCP/TLS1.2;8.944
21.636;1530444264;www.google.com.my;;172.217.22.35;443;53.521;200;TCP/TLS1.2;9.526
26.206;1530444264;www.google.com.my;/;172.217.22.35;443;37.705;200;Q043;
18.863;1530444264;www.google.lv;;172.217.22.35;443;52.656;200;TCP/TLS1.2;9.556
19.245;1530444264;www.google.lv;/;172.217.22.35;443;38.141;200;Q043;
19.501;1530444265;www.google.com.ly;;172.217.22.35;443;53.959;200;TCP/TLS1.2;9.564
19.417;1530444265;www.google.com.ly;/;172.217.22.35;443;37.924;200;Q043;
26.339;1530444275;www.google.iq;;172.217.22.35;443;53.307;200;TCP/TLS1.2;9.596
19.052;1530444275;www.google.iq;/;172.217.22.35;443;36.790;200;Q043;
19.289;1530444276;www.google.ba;;172.217.22.35;443;54.122;200;TCP/TLS1.2;9.545
19.302;1530444276;www.google.ba;/;172.217.22.35;443;37.059;200;Q043;
26.071;1530444276;www.google.lt;;172.217.22.35;443;53.526;200;TCP/TLS1.2;9.527
19.122;1530444276;www.google.lt;/;172.217.22.35;443;36.310;200;Q043;
20.139;1530444276;www.google.com.uy;;172.217.22.35;443;53.684;200;TCP/TLS1.2;9.541
19.562;1530444276;www.google.com.uy;/;172.217.22.35;443;37.216;200;Q043;
18.714;1530444277;www.google.by;;172.217.22.35;443;55.198;200;TCP/TLS1.2;9.518
22.809;1530444277;www.google.by;/;172.217.22.35;443;38.048;200;Q043;
35.556;1530444277;www.google.tn;;172.217.22.35;443;54.129;200;TCP/TLS1.2;9.574
26.379;1530444277;www.google.tn;/;172.217.22.35;443;37.047;200;Q043;
19.296;1530444277;www.gstatic.com;;216.58.208.35;443;53.370;404;TCP/TLS1.2;9.510
19.305;1530444277;www.gstatic.com;/;216.58.208.35;443;35.740;404;Q043;
