DnsLookupTime;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional
1.303;1531745881;www.google.com;/;172.217.19.68;443;55.153;200;Q043;
1.376;1531745882;www.google.com;;172.217.19.68;443;93.660;200;TCP/TLS1.2;23.337
1.311;1531745882;www.google.com;;172.217.19.68;443;70.503;200;TCP/TLS1.3;23.292
1.121;1531745882;www.google.cn;/;172.217.21.227;443;41.376;200;Q043;
1.349;1531745882;www.google.cn;;172.217.21.227;443;55.125;200;TCP/TLS1.2;9.332
17.902;1531745882;www.google.com.vn;/;172.217.19.67;443;58.562;200;Q043;
1.394;1531745883;www.google.com.vn;;172.217.19.67;443;93.505;200;TCP/TLS1.2;23.330
2.733;1531745883;www.youtube.com;/;172.217.23.142;443;38.108;200;Q043;
2.797;1531745884;www.youtube.com;;216.58.214.78;443;54.248;200;TCP/TLS1.2;9.455
17.727;1531745885;www.google.pl;/;172.217.19.67;443;54.650;200;Q043;
1.860;1531745885;www.google.pl;;172.217.19.67;443;95.413;200;TCP/TLS1.2;23.454
31.170;1531745885;www.google.gr;/;172.217.19.67;443;57.869;200;Q043;
1.062;1531745885;www.google.gr;;172.217.19.67;443;84.736;200;TCP/TLS1.2;21.318
17.452;1531745885;www.google.com.ua;/;172.217.19.67;443;60.445;200;Q043;
1.328;1531745886;www.google.com.ua;;172.217.19.67;443;88.544;200;TCP/TLS1.2;23.332
91.558;1531745886;www.google.by;/;216.58.213.195;443;61.001;200;Q043;
1.339;1531745886;www.google.by;;216.58.213.195;443;84.702;200;TCP/TLS1.2;21.641
40.415;1531745886;www.google.cl;/;172.217.19.67;443;58.819;200;Q043;
0.794;1531745887;www.google.cl;;172.217.19.67;443;73.353;200;TCP/TLS1.2;19.312
272.591;1531745887;www.google.com.br;/;172.217.19.67;443;54.162;200;Q043;
1.390;1531745887;www.google.com.br;;172.217.19.67;443;95.393;200;TCP/TLS1.2;23.633
17.772;1531745887;www.google.be;/;216.58.213.195;443;56.816;200;Q043;
1.262;1531745888;www.google.be;;216.58.213.195;443;94.675;200;TCP/TLS1.2;23.323
157.513;1531745888;www.hotnewhiphop.com;/;152.195.39.76;443;36.459;200;Q039;
1.152;1531745888;www.hotnewhiphop.com;;152.195.39.76;443;41.528;200;TCP/TLS1.2;9.376
222.416;1531745888;www.google.com.pe;/;216.58.213.195;443;61.522;200;Q043;
1.268;1531745889;www.google.com.pe;;216.58.213.195;443;96.127;200;TCP/TLS1.2;23.710
51.060;1531745889;www.blogger.com;/;172.217.23.169;443;38.257;302;Q043;
1.235;1531745889;www.blogger.com;;172.217.23.169;443;56.526;302;TCP/TLS1.2;9.582
