DnsLookupTime;TimeOfMeasurement;Url;Path;Ip;Port;ConnectionEstablishmentTime;HttpResponse;Protocol;TcpHandshakeTimeOptional
0.768;1533470401;www.google.com;/;172.217.16.68;443;49.569;200;Q043;
0.606;1533470401;www.google.com;;172.217.16.68;443;72.033;200;TCP/TLS1.2;19.404
0.566;1533470401;www.google.com;;172.217.16.68;443;52.196;200;TCP/TLS1.3;19.375
17.169;1533470401;www.google.cn;/;172.217.16.195;443;35.221;200;Q043;
0.730;1533470401;www.google.cn;;172.217.16.195;443;49.561;200;TCP/TLS1.2;8.938
17.263;1533470401;www.google.com.vn;/;172.217.16.67;443;50.131;200;Q043;
0.601;1533470402;www.google.com.vn;;172.217.16.67;443;72.156;200;TCP/TLS1.2;19.360
0.615;1533470402;www.youtube.com;/;216.58.205.238;443;33.441;200;Q043;
253.121;1533470404;www.youtube.com;;216.58.210.14;443;41.412;200;TCP/TLS1.2;8.928
17.077;1533470404;www.google.pl;/;216.58.213.227;443;49.805;200;Q043;
0.579;1533470404;www.google.pl;;216.58.213.227;443;71.879;200;TCP/TLS1.2;19.444
27.177;1533470404;www.google.gr;/;172.217.16.67;443;52.349;200;Q043;
0.506;1533470405;www.google.gr;;172.217.16.67;443;72.491;200;TCP/TLS1.2;19.386
17.209;1533470405;www.google.com.ua;/;216.58.213.227;443;52.431;200;Q043;
0.669;1533470405;www.google.com.ua;;216.58.213.227;443;70.855;200;TCP/TLS1.2;19.129
38.242;1533470405;www.google.by;/;172.217.16.67;443;52.323;200;Q043;
0.614;1533470405;www.google.by;;172.217.16.67;443;70.355;200;TCP/TLS1.2;18.961
157.344;1533470406;www.google.cl;/;216.58.213.227;443;50.368;200;Q043;
0.582;1533470406;www.google.cl;;216.58.213.227;443;72.045;200;TCP/TLS1.2;19.371
236.165;1533470406;www.google.com.br;/;172.217.16.67;443;50.392;200;Q043;
0.508;1533470406;www.google.com.br;;172.217.16.67;443;73.140;200;TCP/TLS1.2;19.438
36.054;1533470407;www.google.be;/;216.58.213.227;443;53.126;200;Q043;
0.504;1533470407;www.google.be;;216.58.213.227;443;70.692;200;TCP/TLS1.2;18.914
139.853;1533470407;www.hotnewhiphop.com;/;152.195.39.76;443;33.970;200;Q039;
0.638;1533470407;www.hotnewhiphop.com;;152.195.39.76;443;37.590;200;TCP/TLS1.2;8.945
219.463;1533470407;www.google.com.pe;/;216.58.213.227;443;52.115;200;Q043;
0.719;1533470408;www.google.com.pe;;216.58.213.227;443;72.689;200;TCP/TLS1.2;19.347
0.642;1533470408;www.blogger.com;/;172.217.16.201;443;35.721;302;Q043;
0.543;1533470408;www.blogger.com;;172.217.16.201;443;42.792;302;TCP/TLS1.2;8.940
16.928;1533470408;www.google.fr;/;172.217.16.67;443;49.968;200;Q043;
0.653;1533470408;www.google.fr;;172.217.16.67;443;71.881;200;TCP/TLS1.2;19.390
17.393;1533470408;www.doubleclick.net;/;172.217.21.206;443;35.081;301;Q043;
0.703;1533470408;www.doubleclick.net;;172.217.21.206;443;42.911;301;TCP/TLS1.2;8.945
17.299;1533470409;www.google.at;/;216.58.213.227;443;51.937;200;Q043;
0.509;1533470409;www.google.at;;216.58.213.227;443;71.426;200;TCP/TLS1.2;19.144
16.845;1533470409;www.google.co.in;/;216.58.213.227;443;50.103;200;Q043;
0.519;1533470409;www.google.co.in;;216.58.213.227;443;72.425;200;TCP/TLS1.2;19.441
151.862;1533470409;www.google.ae;/;172.217.16.67;443;52.852;200;Q043;
0.611;1533470410;www.google.ae;;172.217.16.67;443;69.744;200;TCP/TLS1.2;18.911
44.260;1533470410;www.google.com.co;/;172.217.16.67;443;49.397;200;Q043;
0.624;1533470410;www.google.com.co;;172.217.16.67;443;72.443;200;TCP/TLS1.2;19.419
50.118;1533470410;www.tutorialspoint.com;/;93.184.220.42;443;36.492;302;Q039;
0.679;1533470410;www.tutorialspoint.com;;93.184.220.42;443;43.772;302;TCP/TLS1.2;9.182
37.133;1533470410;www.google.dk;/;172.217.16.67;443;51.804;200;Q043;
0.638;1533470411;www.google.dk;;172.217.16.67;443;71.537;200;TCP/TLS1.2;19.331
59.057;1533470411;www.google.lt;/;172.217.16.67;443;52.398;200;Q043;
0.675;1533470411;www.google.lt;;172.217.16.67;443;71.815;200;TCP/TLS1.2;19.440
38.630;1533470411;www.mobile01.com;/;35.201.120.164;443;22.021;200;Q043;
0.913;1533470414;www.mobile01.com;;35.201.120.164;443;36.611;200;TCP/TLS1.2;9.197
40.604;1533470414;www.googlevideo.com;/;172.217.16.68;443;49.587;404;Q043;
0.676;1533470414;www.googlevideo.com;;172.217.16.68;443;72.400;404;TCP/TLS1.2;19.377
0.523;1533470414;www.googlevideo.com;;172.217.16.68;443;52.299;404;TCP/TLS1.3;19.131
194.673;1533470414;www.google.com.do;/;172.217.16.67;443;52.254;200;Q043;
0.797;1533470415;www.google.com.do;;172.217.16.67;443;70.401;200;TCP/TLS1.2;18.921
38.592;1533470415;www.google.cz;/;216.58.213.227;443;52.331;200;Q043;
0.647;1533470415;www.google.cz;;216.58.213.227;443;71.387;200;TCP/TLS1.2;18.961
17.114;1533470415;www.google.com.hk;/;216.58.213.227;443;54.207;200;Q043;
0.722;1533470415;www.google.com.hk;;216.58.213.227;443;70.263;200;TCP/TLS1.2;18.855
42.300;1533470415;www.google.si;/;172.217.16.67;443;51.527;200;Q043;
0.656;1533470416;www.google.si;;172.217.16.67;443;72.194;200;TCP/TLS1.2;19.427
17.173;1533470416;www.google.com.mx;/;216.58.213.227;443;50.062;200;Q043;
0.628;1533470416;www.google.com.mx;;216.58.213.227;443;73.231;200;TCP/TLS1.2;19.486
360.889;1533470416;www.google.com.kw;/;216.58.213.227;443;52.844;200;Q043;
0.598;1533470417;www.google.com.kw;;216.58.213.227;443;72.428;200;TCP/TLS1.2;19.422
73.632;1533470417;www.huffingtonpost.com;/;152.195.52.104;443;33.613;302;Q039;
0.595;1533470417;www.huffingtonpost.com;;152.195.52.104;443;38.286;200;TCP/TLS1.2;9.100
243.370;1533470417;www.google.lk;/;216.58.213.227;443;53.064;200;Q043;
0.764;1533470418;www.google.lk;;216.58.213.227;443;72.019;200;TCP/TLS1.2;19.449
179.342;1533470418;www.google.com.gt;/;172.217.20.35;443;90.244;200;Q043;
0.717;1533470418;www.google.com.gt;;172.217.20.35;443;123.130;200;TCP/TLS1.2;34.779
17.445;1533470418;www.google.co.uk;/;172.217.16.67;443;50.657;200;Q043;
0.741;1533470419;www.google.co.uk;;172.217.16.67;443;73.315;200;TCP/TLS1.2;19.415
17.445;1533470419;www.google.iq;/;216.58.213.227;443;53.674;200;Q043;
0.709;1533470419;www.google.iq;;216.58.213.227;443;72.515;200;TCP/TLS1.2;19.464
166.593;1533470419;www.google.nl;/;172.217.16.67;443;50.357;200;Q043;
0.709;1533470420;www.google.nl;;172.217.16.67;443;72.593;200;TCP/TLS1.2;19.475
263.611;1533470420;www.google.com.ar;/;172.217.16.67;443;49.732;200;Q043;
0.840;1533470420;www.google.com.ar;;172.217.16.67;443;71.439;200;TCP/TLS1.2;19.100
197.626;1533470420;www.google.co.ve;/;172.217.16.67;443;51.768;200;Q043;
0.530;1533470421;www.google.co.ve;;172.217.16.67;443;71.568;200;TCP/TLS1.2;19.394
421.953;1533470421;www.google.co.ao;/;172.217.16.67;443;52.450;200;Q043;
0.850;1533470421;www.google.co.ao;;172.217.16.67;443;71.009;200;TCP/TLS1.2;18.926
28.461;1533470422;www.google.az;/;172.217.16.67;443;51.962;200;Q043;
0.585;1533470422;www.google.az;;172.217.16.67;443;73.052;200;TCP/TLS1.2;19.478
444.104;1533470422;www.caixabank.es;/;192.229.182.196;443;33.203;301;Q039;
0.595;1533470422;www.caixabank.es;;192.229.182.196;443;36.696;301;TCP/TLS1.2;9.021
17.097;1533470423;www.google.co.jp;/;172.217.16.67;443;49.375;200;Q043;
0.693;1533470423;www.google.co.jp;;172.217.16.67;443;71.640;200;TCP/TLS1.2;19.362
